ID,Name,RA,DEC,Redshift,HostGalaxy,ZTFName,Magnitude,Run,Comment,Remarks,RASN,DECSN
1,2004em,19:31:31,35:52:25,0.01493,IC 1303,INDEF,(r=13.4),1,0.01493|IC 1303,,19:31:31.31,35:52:16.16
2,2019pkh,02:19:27,34:04:54,0.02,Anonymous,ZTF19abuzinv,,2,0.02|Anonymous,Very Faint HOST,02:19:27.27,34:04:55.55
3,2004ek,01:09:59,32:22:36,0.01742,UGC 724,,(R=12.75),1,0.01742|UGC 724,,01:09:59.59,32:22:48.48
4,2021cwe,15:45:32,30:09:30,0.031681,LEDA 214414,ZTF21aakvroo,(r=16.53),1,0.031681|LEDA 214414,,15:45:31.31,30:09:43.43
5,2021wun,15:46:32,25:25:45,0.0228049997,SDSS J154631.94+252545.5,ZTF21abtephz,(r=17.29),1,0.0228049997|SDSS J154631.94+252545.5,,15:46:32.32,25:25:45.45
6,2020xkx,23:20:28,22:59:13,0.0415,Anonymous,ZTF20acklcyp,,2,0.0415|Anonymous,Small Host Visible (Not Catalogued),23:20:28.28,22:59:13.13
7,2021ydc,01:25:18.18,22:23:25.25,0.055,WISEA J012517.64+222324.8,ZTF21abxlmuw,(W1=17.9),2,0.055|WISEA J012517.64+222324.8,,01:25:18.18,22:23:25.25
8,2018ego,15:52:53,19:58:09,0.037,LEDA 1611826,ZTF18ablhrpz,(r=16.55),1,0.037|LEDA 1611826,,15:52:54.54,19:58:05.05
9,2020rmk,03:52:55,19:19:25,0.025,LEDA 1588264,ZTF20abqlmwn,(J=15.04),1,0.025|LEDA 1588264,,03:52:56.56,19:19:33.33
10,2018imj,06:51:06,12:55:07,0.013,IC 454,ZTF18abytyif,(J=12.99),1,0.013|IC 454,,06:51:06.06,12:54:56.56
11,2006au,17:57:14,12:10:59,0.00958,UGC 11057,INDEF,(B=13.56),1,0.00958|UGC 11057,,17:57:14.14,12:11:03.03
12,PTF12gcx,15:44:17,09:57:43,0.04498,LEDA 1372615,INDEF,(r=16.51),1,0.04498|LEDA 1372615,,15:44:17.17,09:57:43.43
13,2006V,11:31:31,-02:18:10,0.01584,UGC 6510,INDEF,(r=12.93),1,0.01584|UGC 6510,,23:15:53.53,05:07:50.50
14,2022ymc,03:13:41,-01:16:32,0.028,Anonymous,ZTF22abqseiq,,2,0.028|Anonymous,Uncatalogued,03:13:41.41,-01:16:32.32
15,2012gg,04:36:11,-05:04:53,0.030485,Anon J043611-0504,PTF12kso,(r=20.64),2,0.030485|Anon J043611-0504,,04:36:11.11,-05:04:53.53
16,PTF09gpn,03:43:43,-17:08:43,0.0154,Anonymous,INDEF,(r=20.08),2,0.0154|Anonymous,Uncatalogued,03:43:43.43,-17:08:43.43
17,2021abnz,02:43:54,-20:55:10,0.03,GALEX J024354.4-205511,ZTF21acheiti,,2,0.03|GALEX J024354.4-205511,,02:43:54.54,-20:55:07.07
18,1998A,11:09:52,-23:43:40,0.00697,IC 2627,INDEF,(R=11.4),1,0.00697|IC 2627,,11:09:50.50,-23:43:43.43
19,2009mw,09:47:15,-24:51:03,0.014432,ESO 499-5,INDEF,(R=12.56),1,0.014432|ESO 499-5,,09:47:15.15,-24:51:19.19
20,OGLE-2003-NOOS-005,05:55:40,-68:55:38,0.03061,2MASX J05553978-6855381,INDEF,(R=15.58),1,0.03061|2MASX J05553978-6855381,,05:55:40.40,-68:55:38.38
